MISSION_TIME,GPS_LATITUDE,GPS_LONGITUDE
00:00:00,40.71500,-74.00280
00:00:01,40.71508,-74.00260
00:00:02,40.71516,-74.00235
00:00:03,40.71524,-74.00205
00:00:04,40.71532,-74.00170
00:00:05,40.71540,-74.00130
00:00:06,40.71548,-74.00085
00:00:07,40.71556,-74.00035
00:00:08,40.71564,-73.99980
00:00:09,40.71572,-73.99920
00:00:10,40.71580,-73.99855
00:00:11,40.71588,-73.99785
00:00:12,40.71596,-73.99710
00:00:13,40.71604,-73.99630
00:00:14,40.71612,-73.99545
00:00:15,40.71620,-73.99455
00:00:16,40.71628,-73.99360
00:00:17,40.71636,-73.99260
00:00:18,40.71644,-73.99155
00:00:19,40.71652,-73.99045
00:00:20,40.71660,-73.98930
00:00:21,40.71668,-73.98810
00:00:22,40.71676,-73.98685
00:00:23,40.71684,-73.98555
00:00:24,40.71692,-73.98420
00:00:25,40.71700,-73.98280
00:00:26,40.71708,-73.98135
00:00:27,40.71716,-73.97985
00:00:28,40.71724,-73.97830
00:00:29,40.71732,-73.97670
00:00:30,40.71740,-73.97505
00:00:31,40.71748,-73.97335
00:00:32,40.71756,-73.97160
00:00:33,40.71764,-73.96980
00:00:34,40.71772,-73.96795
00:00:35,40.71780,-73.96605
00:00:36,40.71788,-73.96410
00:00:37,40.71796,-73.96210
00:00:38,40.71804,-73.96005
00:00:39,40.71812,-73.95795
00:00:40,40.71820,-73.95580
00:00:41,40.71828,-73.95360
00:00:42,40.71836,-73.95135
00:00:43,40.71844,-73.94905
00:00:44,40.71852,-73.94670
00:00:45,40.71860,-73.94430
00:00:46,40.71868,-73.94185
00:00:47,40.71876,-73.93935
00:00:48,40.71884,-73.93680
00:00:49,40.71892,-73.93420
00:00:50,40.71900,-73.93155
00:00:51,40.71908,-73.92885
00:00:52,40.71916,-73.92610
00:00:53,40.71924,-73.92330
00:00:54,40.71932,-73.92045
00:00:55,40.71940,-73.91755
00:00:56,40.71948,-73.91460
00:00:57,40.71956,-73.91160
00:00:58,40.71964,-73.90855
00:00:59,40.71972,-73.90545
